[0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 28, 12, 40]
[0, 3, 4, 2, 2, 3, 7, 5, 2, 2, 1, 1, 1, 0, 1, 1, 0, 7, 6, 8, 8, 29, 11, 40]
[1, 4, 5, 1, 2, 6, 5, 4, 1, 1, 1, 1, 1, 0, 1, 0, 0, 6, 5, 9, 8, 28, 12, 40]
[2, 4, 4, 1, 2, 5, 7, 3, 4, 2, 0, 1, 0, 1, 3, 0, 0, 6, 6, 9, 8, 29, 11, 40]
[3, 4, 5, 1, 1, 7, 8, 5, 3, 1, 3, 0, 1, 3, 0, 0, 0, 6, 5, 9, 9, 29, 11, 40]
[4, 5, 5, 0, 1, 9, 8, 5, 3, 2, 1, 1, 1, 1, 2, 0, 0, 5, 5, 10, 9, 29, 11, 40]
[5, 4, 4, 1, 2, 5, 6, 1, 5, 1, 0, 0, 0, 2, 3, 0, 0, 6, 6, 9, 8, 29, 11, 40]
[6, 5, 4, 1, 1, 7, 4, 3, 1, 2, 0, 0, 1, 0, 0, 1, 0, 5, 6, 9, 9, 29, 11, 40]
[7, 4, 5, 1, 2, 6, 7, 3, 4, 0, 2, 0, 1, 4, 0, 0, 0, 6, 5, 9, 8, 28, 12, 40]
[8, 5, 5, 1, 1, 8, 4, 3, 1, 2, 0, 0, 1, 0, 1, 0, 0, 5, 5, 9, 9, 28, 12, 40]
[9, 5, 6, 0, 1, 10, 8, 5, 3, 2, 1, 1, 1, 1, 2, 0, 0, 5, 4, 10, 9, 28, 12, 40]
[10, 6, 7, 0, 1, 12, 8, 5, 3, 3, 2, 0, 0, 1, 1, 0, 1, 4, 3, 10, 9, 26, 14, 40]
[11, 6, 6, 0, 0, 12, 6, 3, 3, 1, 1, 0, 1, 3, 0, 0, 0, 4, 4, 10, 10, 28, 12, 40]
[12, 5, 5, 1, 1, 8, 6, 1, 5, 0, 1, 0, 0, 5, 0, 0, 0, 5, 5, 9, 9, 28, 12, 40]
[13, 5, 6, 1, 1, 9, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 4, 9, 9, 27, 13, 40]
[14, 5, 6, 0, 1, 10, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5, 4, 10, 9, 28, 12, 40]
[15, 5, 6, 0, 1, 10, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 5, 4, 10, 9, 28, 12, 40]
[16, 4, 4, 1, 2, 5, 7, 1, 6, 1, 0, 0, 0, 3, 3, 0, 0, 6, 6, 9, 8, 29, 11, 40]
[17, 4, 5, 1, 1, 7, 4, 3, 1, 1, 1, 0, 1, 1, 0, 0, 0, 6, 5, 9, 9, 29, 11, 40]
[18, 4, 5, 1, 2, 6, 3, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 6, 5, 9, 8, 28, 12, 40]
[19, 4, 4, 2, 2, 4, 6, 2, 4, 1, 1, 0, 0, 2, 2, 0, 0, 6, 6, 8, 8, 28, 12, 40]
[20, 4, 4, 2, 2, 4, 8, 4, 4, 1, 1, 1, 1, 2, 2, 0, 0, 6, 6, 8, 8, 28, 12, 40]
[21, 4, 5, 1, 2, 6, 8, 5, 3, 1, 3, 1, 0, 1, 1, 1, 0, 6, 5, 9, 8, 28, 12, 40]
[22, 5, 7, 0, 1, 11, 5, 5, 0, 1, 2, 1, 1, 0, 0, 0, 0, 5, 3, 10, 9, 27, 13, 40]
[23, 5, 7, 0, 0, 12, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 3, 10, 10, 28, 12, 40]
[24, 5, 6, 0, 1, 10, 4, 1, 3, 1, 0, 0, 0, 0, 3, 0, 0, 5, 4, 10, 9, 28, 12, 40]
[25, 5, 7, 0, 1, 11, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 3, 10, 9, 27, 13, 40]
[26, 5, 8, 0, 1, 12, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 2, 10, 9, 26, 14, 40]
[27, 6, 7, 0, 1, 12, 4, 2, 2, 2, 0, 0, 0, 1, 1, 0, 0, 4, 3, 10, 9, 26, 14, 40]
[28, 5, 6, 0, 1, 10, 4, 1, 3, 0, 1, 0, 0, 1, 2, 0, 0, 5, 4, 10, 9, 28, 12, 40]
[29, 5, 5, 0, 1, 9, 7, 3, 4, 1, 1, 0, 1, 1, 3, 0, 0, 5, 5, 10, 9, 29, 11, 40]
[30, 5, 6, 0, 1, 10, 7, 4, 3, 1, 2, 0, 1, 2, 1, 0, 0, 5, 4, 10, 9, 28, 12, 40]
[31, 5, 6, 0, 0, 11, 5, 3, 2, 2, 0, 0, 1, 2, 0, 0, 0, 5, 4, 10, 10, 29, 11, 40]
[32, 5, 6, 0, 0, 11, 6, 3, 3, 1, 2, 0, 0, 3, 0, 0, 0, 5, 4, 10, 10, 29, 11, 40]
